장소명,카테고리,전화번호,주소,거리(m),카카오지도_URL,위도,경도,대표메뉴1,가격1,대표메뉴2,가격2,대표메뉴3,가격3,비고
진국명가,음식점 > 한식 > 국밥,051-512-8880,부산 금정구 금강로 271,145,http://place.map.kakao.com/19089206,35.23228078162886,129.08519742238485,,,,,,,
부산대 우쭈쭈,"음식점 > 한식 > 해물,생선",051-583-5133,부산 금정구 부산대학로49번길 19,296,http://place.map.kakao.com/26562756,35.23039225367108,129.08575642449398,,,,,,,
김해원조뒷고기,"음식점 > 한식 > 육류,고기",051-514-2732,부산 금정구 금강로 239,334,http://place.map.kakao.com/16227013,35.22947833046218,129.08451065783925,,,,,,,
칠성돌곱창,"음식점 > 한식 > 육류,고기 > 곱창,막창",051-515-1061,부산 금정구 부산대학로49번길 49,403,http://place.map.kakao.com/9481072,35.229086733036624,129.0854286648401,,,,,,,
미식가,"음식점 > 한식 > 육류,고기",051-516-9752,부산 금정구 장전로 49,353,http://place.map.kakao.com/929036182,35.2292149925653,129.083632999813,,,,,,,
원조밀면,음식점 > 한식 > 국수,051-582-8254,부산 금정구 부산대학로64번길 112,481,http://place.map.kakao.com/21537796,35.236343560328905,129.0858011911481,,,,,,,
대박횟집,"음식점 > 한식 > 해물,생선 > 회",,부산 금정구 금강로 276-8,206,http://place.map.kakao.com/1814606319,35.2325433505573,129.085857634953,,,,,,,
진주비봉식당,음식점 > 한식 > 국밥,051-518-1146,부산 금정구 부산대학로49번길 13,273,http://place.map.kakao.com/17362580,35.23079836315708,129.08587884759976,,,,,,,
칼맛나는푸짐한횟집 별관,"음식점 > 한식 > 해물,생선 > 회",051-513-9883,부산 금정구 장전온천천로 79,469,http://place.map.kakao.com/1409024307,35.2320790640797,129.08874195508,,,,,,,
황금칼국수,음식점 > 한식 > 국수 > 칼국수,051-515-3005,부산 금정구 부산대학로38번길 35,353,http://place.map.kakao.com/21853935,35.23278890014463,129.08745207482932,,,,,,,
대길고추불고기 2호점,"음식점 > 한식 > 육류,고기 > 불고기,두루치기",051-516-4707,부산 금정구 장전로 47,359,http://place.map.kakao.com/19966829,35.229164448069824,129.08384696569007,,,,,,,
개성상인,"음식점 > 한식 > 육류,고기 > 삼겹살",051-515-5253,부산 금정구 금강로 248-5,275,http://place.map.kakao.com/1870399421,35.2302700230322,129.085162423838,,,,,,,
가야공원돼지국밥 부산대점,음식점 > 한식 > 국밥,051-582-0630,부산 금정구 장전온천천로 87,487,http://place.map.kakao.com/20057605,35.2328292276086,129.088927036419,,,,,,,
고기는모름지기 부산대점,"음식점 > 한식 > 육류,고기",051-518-2885,부산 금정구 금정로91번길 2,287,http://place.map.kakao.com/1744642391,35.2329109574001,129.08669737012,,,,,,,
홍보석 숯불구이,"음식점 > 한식 > 육류,고기 > 삼겹살",051-581-0950,부산 금정구 금강로 256-7,236,http://place.map.kakao.com/9631502,35.23092608430693,129.08547465554284,,,,,,,
부산대밀면,음식점 > 한식 > 국수,051-582-1110,부산 금정구 부산대학로63번길 50,328,http://place.map.kakao.com/19959514,35.22943847902026,129.0837375597378,,,,,,,
